text,category
What is my money worth in other countries?,Payment_Industry
Will my money be of equal value when I travel abroad?,Payment_Industry
Do you know the rate of exchange?,Payment_Industry
What foreign exchange rate will I get on weekdays and on the weekends?,Payment_Industry
What is the exchange looking like?,Payment_Industry
How is the exchange rate doing?,Payment_Industry
I would like to know how exchange rates are calculated when transferring funds.,Payment_Industry
I would like to know what exchange rates you use?,Payment_Industry
"If I need to cash foreign transfers, how does that work?",Payment_Industry
Do you know what your exchange rates are?,Payment_Industry
How do I know what exchange rate I will get?,Payment_Industry
What are you exchange rates?,Payment_Industry
Do you have the best exchange rate?,Payment_Industry
Where can I find your exchange rates?,Payment_Industry
Your exchange rates come from where?,Payment_Industry
I need to know what your exchange rates are.,Payment_Industry
What's the process for exchanges?,Payment_Industry
What do you think of the exchange rate?,Payment_Industry
How are exchange rates calculated at this bank?,Payment_Industry
What do you use to figure out the exchange rate for the card?,Payment_Industry
What's the foreign exchange rate I will receive?,Payment_Industry
I need to know what foreign exchange rate I can get.,Payment_Industry
What are the current exchange rates?,Payment_Industry
What exchange rate will I receive?,Payment_Industry
What is the basis of your exchange rates?,Payment_Industry
How's the exchange rate?,Payment_Industry
How do you determine your exchange rates?,Payment_Industry
How do the foreign exchange rates work?,Payment_Industry
Where are you getting your exchange rates from?,Payment_Industry
How is the exchange rate calculated?,Payment_Industry
I'm interested in what your exchange rates are based on.,Payment_Industry
How do you decide what the exchange rates are?,Payment_Industry
What is the current exchange rate?,Payment_Industry
What is the formula for your exchange rate?,Payment_Industry
What method do you use for the exchange rate?,Payment_Industry
What are Interbanks current exchange rates?,Payment_Industry
from where are coming your exchange rates?,Payment_Industry
How do you calculate exchange rates?,Payment_Industry
Why is your exchange rate different on different days?,Payment_Industry
Where can I find the exchange rate for my transfer?,Payment_Industry
Where can I get your exchange rates from?,Payment_Industry
How do you find the exchange rate?,Payment_Industry
How are exchange rates determined?,Payment_Industry
What value can I get for my currency?,Payment_Industry
Please explain your exchange rate policy.,Payment_Industry
What are your exchange rates calculated from?,Payment_Industry
What is an exchange rate?,Payment_Industry
What is your opinion on the exchange rate?,Payment_Industry
What are the exchange rates you assign?,Payment_Industry
How do you determine exchange rates?,Payment_Industry
How are your exchange rates calculated?,Payment_Industry
How is an exchange rate calculated?,Payment_Industry
"When exchanging, how much are the rates?",Payment_Industry
What is the exchange rate for EUR?,Payment_Industry
How can I find your exchange rates?,Payment_Industry
Could you please tell me your exchange rates?,Payment_Industry
Is there an exchange rate?,Payment_Industry
How does the exchange rate work?,Payment_Industry
What is the present state of the exchange rate?,Payment_Industry
How are foreign exchange rates determined?,Payment_Industry
How's the exchange rate looking right now?,Payment_Industry
Please explain the exchange rates.,Payment_Industry
What is the foreign exchange rate you will apply?,Payment_Industry
explain the interbank exchange rate,Payment_Industry
What will my exchange rate be?,Payment_Industry
how do you get exchange rates,Payment_Industry
What exchange rates do you use?,Payment_Industry
How will I know what the exchange rate is?,Payment_Industry
What factors effect the exchange rate?,Payment_Industry
Where does the exchange rate stand right now?,Payment_Industry
I'd like to know what the foreign exchange rate will be.,Payment_Industry
Does the exchange rate change?,Payment_Industry
How do your exchange rates factor in?,Payment_Industry
