query_id,query,NDCG@10,MRR,Recall@10
2648,How does unemployment insurance work?,1.0,1.0,1.0
2486,"Is working on a W2 basis, with benefits paid to me, a good idea?",1.0,1.0,1.0
109,How to account for money earned and spent prior to establishing business bank accounts?,1.0,1.0,1.0
691,How to categorize credit card payments?,1.0,1.0,1.0
1877,"As a Sole Proprietor, will “employer” Solo 401k contributions count towards gross income?",1.0,1.0,1.0
10414,What is considered high or low when talking about volume?,1.0,1.0,1.0
6219,Are there Investable Real Estate Indices which track Geographical Locations?,1.0,1.0,1.0
2695,"Buy a parking spot and rent it out, or invest savings in an interest-bearing account?",1.0,1.0,1.0
9824,Where can end-of-day data be downloaded for corporate bonds?,1.0,1.0,1.0
721,What are “upstream investments” and “downstream investments” in this context?,1.0,1.0,1.0
5505,Can I deduct interest and fees on a loan for qualified medical expenses?,1.0,1.0,1.0
3357,Why big clients want the contractor to be incorporated before giving them work,1.0,1.0,1.0
9565,What are the tax benefits of dividends vs selling stock,1.0,1.0,1.0
5347,car loan life insurance,1.0,1.0,1.0
2737,What to do with an old building to get money,1.0,1.0,1.0
904,How do I set up Quickbooks for a small property rental company that holds its properties in separate LLC's?,1.0,1.0,1.0
475,Do I need a new EIN since I am hiring employees for my LLC?,1.0,1.0,1.0
5653,Steps and timing of the SEIS investment (in the UK),1.0,1.0,1.0
10845,"Rationale behind using 12, 26 and 9 to calculate MACD",1.0,1.0,1.0
5045,Why are we taxed on revenue and companies on profit?,1.0,1.0,1.0
7484,Why sometimes payable date is BEFORE the ex-dividend date?,1.0,1.0,1.0
1441,What's the difference between Market Cap and NAV?,1.0,1.0,1.0
3528,"In the US, does getting a loan with a cosigner, help your credit rating?",1.0,1.0,1.0
5592,Are “hard money loans” meant only for real estate?,1.0,1.0,1.0
4785,What is the difference between a structured collar and a normal collar in finance?,1.0,1.0,1.0
7467,Stocks are traded on secondary markets?,1.0,1.0,1.0
8121,Can I calculate stock value with Williams%R if I know the last set?,1.0,1.0,1.0
5125,Regarding Australian CBS takeover of TEN,1.0,1.0,1.0
1284,Tax consequences when foreign currency changes in value,1.0,1.0,1.0
9644,"If early exercise is a bad idea, why American option is more expensive than European [duplicate]",1.0,1.0,1.0
1415,I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT?,1.0,1.0,1.0
1815,Rules for SEP contributions in an LLC?,1.0,1.0,1.0
879,Capital improvement and depreciation in restaurant LLC,1.0,1.0,1.0
1451,"How do you find an ethical, honest independent insurance broker in Canada?",1.0,1.0,1.0
1826,"Is the contribution towards Employment Insurance (EI) wasted if I never get fired, or are my premiums refunded?",1.0,1.0,1.0
4700,Better to get loan from finance company or bank considering the drop of credit score?,1.0,1.0,1.0
8296,Can the beta of a stock be used as a lagging indicator for the stock w.r.t the market,1.0,1.0,1.0
2445,How do I notify the IRS of a new member to an LLC?,1.0,1.0,1.0
2399,Where do web sites get foreign exchange currency rate / quote information?,1.0,1.0,1.0
6479,Trading on exchanges or via brokerage companies?,1.0,1.0,1.0
11054,Short Term Capital Gains tax vs. IRA Withdrawal Tax w/o Quarterly Est. Taxes,1.0,1.0,1.0
4681,How to fix Finance::Quote to pull quotes in GnuCash,1.0,1.0,1.0
5380,"Can somebody explain “leveraged debt investment positions” and “exposures” in this context for me, please?",1.0,1.0,1.0
8040,Best way to make most of savings with ISA and Offset mortgage,1.0,1.0,1.0
6807,How to incorporate dividends while calculating annual return of a Stock,1.0,1.0,1.0
